,fold_0,fold_1,fold_2,fold_3,fold_4,mean_importance,std_importance
g_eff_rain_st20_3d,2240.6262076459825,1957.2795422850177,2390.560059849173,2706.1032037064433,2296.511833809316,2318.2161694591864,241.84975460394105
g_eff_rain_st6_3d,2220.1780476290733,2421.8120071962476,2259.1650706864893,1903.559083264321,2358.909909516573,2232.724823658541,179.3785002569309
rainfall_openmeteo_mm,2376.7499215751886,1478.3334023877978,1821.1171805933118,2204.8970633670688,1940.3243516087532,1964.284383906424,311.5257835148589
g_rain_st22_7d,2136.533377684653,1009.7287992611527,1572.75061888434,2479.145260166377,1873.2533583641052,1814.2822828721255,501.00099543381936
g_rain_st27_7d,2126.2622875440866,1517.291676543653,1400.1011241041124,1930.0962701644748,1496.2628824543208,1694.0028481621296,282.5931642714509
g_rain_st10_1d,1880.3811208289117,1742.6430993750691,1195.468157157302,1411.831661639735,1243.2533318474889,1494.7154741697013,271.9772014316416
g_eff_rain_st10_3d,1518.2884631082416,2134.7454070970416,1109.4636963270605,1318.0097269136459,1186.8551666587591,1453.4724920209496,367.7256872596282
g_rain_st15_7d,2018.7042925711721,1198.2626634538174,1222.0535649061203,1669.8216379713267,954.5182628966868,1412.6720843598246,380.9495174338367
g_rain_st27_1d,1272.9381671398878,1332.51775303483,1717.5048445034772,1464.5252196341753,1117.9641137830913,1381.0900196190923,201.70656786598724
g_rain_st27_2d,1735.4394209831953,1108.5883375629783,1417.6334796063602,1293.8380831768736,1105.5245716683567,1332.2047785995528,233.56218529884708
g_rain_st10_3d,1234.823265619576,1316.4286347702146,1053.147855386138,1481.6374321607873,1118.8339800909162,1240.9742336055265,150.89530548347807
g_rain_st27_3d,1886.4946294128895,757.7419069427997,966.7118950001895,1260.896281376481,956.9491771608591,1165.7587779786438,394.51494018919544
g_rain_st10_2d,960.8657110519707,906.900282740593,1069.4491266719997,826.2008054405451,997.7851200290024,952.2402091868222,82.2536427776442
g_eff_rain_st27_3d,998.709689244628,844.3062427192926,828.0754730021581,1003.1279053185135,618.8470350205898,858.6132690610364,140.80950395318035
g_rain_st22_1d,1062.493999145925,342.8035313654691,1042.1488879546523,550.2559940963984,642.752799347043,728.0910423818975,282.0680960784259
g_rain_st15_3d,820.4799281731248,544.8912182152271,620.3077177852392,936.3360312888399,492.06938552856445,682.816856198199,168.8422726032886
g_rain_st15_1d,619.3474198505282,812.1463449150324,645.2128119543195,618.677960306406,628.133033812046,664.7035141676664,74.34003328617429
g_rain_st15_2d,751.8237259835005,500.11096961423755,755.9433371108025,577.5295967906713,648.013139821589,646.6841538641602,99.2569554822518
g_rain_st22_2d,665.3706218916923,491.48812986537814,518.0769415795803,628.5583313461393,899.3849913775921,640.5758032120764,144.89617247359308
g_rain_st22_3d,504.6321606375277,543.2242229282856,553.0721771717072,487.8843398578465,542.383850120008,526.239350143075,25.326305856528254
g_eff_rain_st22_3d,321.0066303499043,347.1273618210107,544.6836147010326,456.66615536622703,428.2036388590932,419.5374802194536,80.08339331209147
g_eff_rain_st15_3d,523.1298298034817,327.90317410230637,456.5184806995094,371.93745343061164,409.773506693542,417.85248894589023,67.59100102494365
g_rain_st16_7d,453.0546685680747,231.83418257907033,280.65008345246315,261.72643622756004,237.67920231819153,292.9889146290719,81.91422394516239
g_rain_st16_2d,191.755718447268,147.46726728975773,121.77158923447132,101.70280639082193,114.01971310377121,135.34341889321803,31.93719160895472
g_eff_rain_st16_3d,147.76424545049667,109.93881161883473,80.78173640370369,98.40478357672691,50.29397005587816,97.43670942112803,32.21777959695873
g_rain_st16_1d,54.228585332632065,90.21476964652538,129.80732023715973,114.12186831235886,80.7373478859663,93.82197828292847,26.301660186604767
g_rain_st16_3d,41.3774658292532,72.91263321042061,102.77438744902611,80.74514439702034,140.5270599424839,87.66733816564083,32.95677013962649
mjo_active,37.184198923408985,142.55435938481241,55.87355196475983,26.492531150579453,100.64832673966885,72.5505936326459,43.220968379622356
